sample_ID	copy_number
100XPosDilute 	145202
10XPosDilute 	1011673
6R9Wound 	6105
6R9WoundCtrl 	6525
MB000012 	21232
MB000014 	10013688
MB000017 	21689
MB000031 	1685912
MB000034 	235575
MB000046 	761
MB000048 	7061348
MB000051 	339340
MB000052 	3072
MB000053 	7083
MB000054 	370093
MB000055 	36214
MB000067 	11207
MB000069 	21932611
MB000072 	31474
MB000084 	52024
MB000086 	17830345
MB000089 	109521
MB000101 	3666
MB000103 	11768443
MB000106 	45370
MB000107 	2564
MB000108 	20264
MB000109 	7269
MB000110 	9073
MB000122 	662
MB000124 	21045002
MB000127 	111810
MB000143 	153770
MB000145 	21571362
MB000148 	333
MB000149 	9054
MB000150 	5207
MB000162 	16427
MB000164 	35941095
MB000167 	6206
MB000179 	7064
MB000181 	7021808
MB000184 	131406
MB000185 	6298
MB000186 	4708
MB000198 	332983
MB000200 	77880202
MB000203 	139
MB000204 	3371
MB000205 	254
MB000217 	7825
MB000219 	9906447
MB000222 	1716
MB000234 	132
MB000236 	15978665
MB000239 	35572
MB100043 	13660
MB100045 	38007660
MB100048 	12653
MB100094 	5530
MB100096 	24831825
MB100099 	137946
MB100145 	20452
MB100147 	68479024
MB100150 	534950
MB100198 	32420492
MB100201 	30468
MB100247 	19278
MB100249 	2776816
MB100252 	120671
MB100298 	412603
MB100300 	56035123
MB100303 	54677
MB100349 	215
MB100351 	385007
MB100354 	12230
MB100400 	16
MB100402 	39472387
MB100405 	6989
MB100451 	14003
MB100453 	193767
MB100456 	19555
MB100502 	144
MB100504 	37052563
MB100507 	318206
MB100553 	2441
MB100555 	6912377
MB100558 	864054
MB100604 	6016
MB100606 	826357
MB100609 	166873
MB100657 	355611
MB100706 	285
MB100708 	134958257
MB100711 	32388
MB100757 	43225
MB100759 	4357632
MB100762 	17402
MB100808 	44874
MB100810 	563793
MB100813 	83177
MB100856 	27684
MB100858 	225349
MB100861 	16338
MB100906	515456
MB100909 	58705
MB100952 	3170
MB100954 	1920134
MB100957 	34385
MB101000 	205762
MB101002 	972939
MB101005 	203602
MB101051 	31622
MB101053 	38761826
MB101056 	38171
MB101102 	25148
MB101104 	23248048
MB101107 	278288
MB101153 	38
MB101155 	53179217
MB101158 	37239
MB101206 	9449615
MB101209 	109782
MB101255 	3011
MB101257 	20319737
MB101260 	1053040
MB101308 	1593688
MB101311 	366244
MB101357 	4094
MB101359 	10272577
MB101362 	184317
MB101410 	7236497
MB101413 	62604
MB101459 	26989
MB101461 	9850785
MB101464 	8406
MB101512 	288326
MB101515 	112774
MB101561 	28830
MB101563 	474413
MB101566 	26289
MB101612 	2590
MB101614 	29231540
MB101617 	582410
MB101663 	5431
MB101665 	17657739
MB101668 	488035
MB101714 	4340
MB101716 	3385509
MB101719 	521183
MB101765 	5117
MB101767 	699845
MB101770 	473494
MB101816 	1090
MB101818 	4301844
MB101821 	77194
MB101867 	98734
MB101869 	28330
MB101872 	8885
MB101969 	19179
MB101971 	20653271
MB101974 	276772
MB102020 	13273
MB102022 	4577326
MB102025 	1374480
MB102071 	28
MB102073 	3207309
MB102076 	31808
MB102173 	758
MB102175 	685922
MB102178 	3711
MB102224 	1464
MB102229 	28396
MB102275 	6392
MB102277 	1453466
MB102280 	749
MB102326 	713
MB102328 	20490016
MB102331 	340039
MB102377 	3150
MB102379 	610439
MB102382 	5425
MB102479 	269147
MB102481 	761688
MB102484 	289332
MB102530 	381
MB102532 	17844236
MB102535 	298339
MB102632 	2993
MB102634 	15819603
MB102637 	42373
MB102683 	2
MB102685 	41812079
MB102688 	11007
MB102734 	41319
MB102736 	36938
MB102739 	11332
MB102836 	6623
MB102838 	962436
MB102841 	29374
MB102938 	47590
MB102940 	199929
MB102943 	855384
MB102989 	372005
MB102991 	454160
MB102994 	23473
MB103040 	1
MB103042 	2044449
MB103045 	123
MB103091 	1713
MB103093 	31388328
MB103096 	349
MB103193 	10912
MB103195 	27368153
MB103198 	121747
MB103244 	3635
MB103246 	32973636
MB103249 	21112
MB103295 	847
MB103297 	1950921
MB103300 	9032
MB103346 	2024
MB103348 	49937263
MB103351 	4015
MB103397 	7761
MB103399 	33541320
MB103402 	37374
MB103499 	646
MB103501 	259632
MB103504 	9617
MB103550 	16891
